Location,Disaster Type,Disaster Subtype,Start Year,Total Deaths,Total Damage ('000 US$)
Bengal,Drought,Drought,1900,1250000.0,
Kangra,Earthquake,Ground movement,1905,20000.0,25000.0
"Cuddalore, Pondicherry",Storm,Tropical cyclone,1916,300.0,
Punjab province,Storm,Tropical cyclone,1924,1242.0,
"Bezwada, Masulipatam",Storm,Tropical cyclone,1925,80.0,
Bengal,Flood,Riverine flood,1926,,
"Gujarat, Ahmedabad, Baroda",Storm,Tropical cyclone,1927,56.0,
Nellore,Storm,Tropical cyclone,1927,629.0,
"Godavari, Vizagapatnam",Flood,Flood (General),1928,36.0,
"Madras, Negapatam",Storm,Storm (General),1935,100.0,
Guntur (Madras),Storm,Tropical cyclone,1936,233.0,
"Orissa, West Bengal",Storm,Tropical cyclone,1942,40000.0,
"Calcutta, Bengal region",Drought,Drought,1942,1500000.0,
Rajputana,Storm,Tropical cyclone,1943,5000.0,
Madras,Storm,Storm (General),1943,,
Assam,Storm,Tropical cyclone,1944,304.0,
"Gujarat, Punjab",Storm,Tropical cyclone,1945,,
Assam,Mass movement (wet),Landslide (wet),1948,500.0,
"East & West Godavari districts, Masulipatnam",Storm,Tropical cyclone,1949,1000.0,
Saurashtra,Flood,Riverine flood,1950,45.0,
Assam province,Earthquake,Ground movement,1950,1500.0,20000.0
West,Storm,Storm (General),1950,90.0,
"Tanjore, Tiruchi",Storm,Tropical cyclone,1952,400.0,
Punjab,Storm,Tropical cyclone,1955,1500.0,
Tanjore,Storm,Tropical cyclone,1955,500.0,
"Parganas, Midnapore (West Bengal)",Storm,Tropical cyclone,1956,,
"Gujarat, Saurashtra, Kutch",Flood,Flood (General),1956,,
"Bihar, Uttar Pradesh",Flood,Flood (General),1956,100.0,
"Anjar, Bhuj, Gandhidham, Kandla",Earthquake,Ground movement,1956,113.0,
"Madya Pradesh, Uttar Pradesh",Flood,Flood (General),1957,42.0,
Vishakhapatam,Storm,Storm (General),1958,,
Madras city,Flood,Flood (General),1958,5.0,
Kutch,Flood,Flood (General),1959,17.0,
"Maduri, Madras City",Flood,Flood (General),1960,5.0,
North,Flood,Flood (General),1961,2000.0,
"Central, West India",Flood,Flood (General),1961,,
Uttar Pradesh,Flood,Flood (General),1961,57.0,
"Punjab, Delhi, M.P.",Storm,Storm (General),1962,,
"Orissa, Uttar Pradesh, Punjab",Storm,Storm (General),1963,200.0,
"Assam, Bihar, Punjab",Flood,Flood (General),1964,145.0,
Andhra Pradesh,Flood,Flood (General),1964,,500.0
Rameswaram,Storm,Tropical cyclone,1964,500.0,
"Rajasthan, center",Drought,Drought,1964,,
Mysore,Drought,Drought,1964,,
Nationwide except south,Drought,Drought,1965,1500000.0,100000.0
"Manipur, Assam",Flood,Flood (General),1966,47.0,1400.0
Madras state,Storm,Tropical cyclone,1966,18.0,4200.0
North,Earthquake,Ground movement,1966,15.0,
"North, Central",Flood,Flood (General),1967,300.0,
Orissa,Storm,Tropical cyclone,1967,1000.0,
"Maharashtra, Koynana",Earthquake,Ground movement,1967,177.0,400.0
Assam,Flood,Flood (General),1968,,
"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",Flood,Flash flood,1968,4892.0,94200.0
"Bihar, Bengal",Mass movement (wet),Landslide (wet),1968,1000.0,
"Ramanathapurum, Thanjavur",Storm,Tropical cyclone,1968,7.0,
"Guntur, Krishna, Godavari (Andhra Pradesh)",Storm,Tropical cyclone,1969,600.0,8330.0
Kannaman,Storm,Storm (General),1969,15.0,
Madras City,Storm,Storm (General),1969,,
Andhra Pradesh,Storm,Tropical cyclone,1969,200.0,
"North-East, Western, North",Flood,Flood (General),1970,627.0,101200.0
Madras city (Tamil Nadu),Storm,Storm (General),1970,,
"Gujarat, Orissa states",Flood,Flood (General),1970,400.0,
Broach,Earthquake,Ground movement,1970,26.0,
North,Flood,Flood (General),1971,1023.0,530000.0
Uttar Pradesh,Flood,Flood (General),1971,300.0,
"East coast, Orissa state",Storm,Tropical cyclone,1971,9658.0,30000.0
"Bihar, West Bengal",Storm,Tropical cyclone,1971,60.0,
"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",Flood,Flood (General),1971,,
"Andhra Pradesh, Orissa",Storm,Tropical cyclone,1972,100.0,
"Srinagar, Kashmir",Storm,Storm (General),1972,50.0,
Madras City,Storm,Tropical cyclone,1972,80.0,
Central,Drought,Drought,1972,,100000.0
"Uttar Pradesh, Bihar",Extreme temperature,Cold wave,1973,115.0,
"Bihar, Delhi",Extreme temperature,Cold wave,1973,146.0,
"West Bengal, Madya Pradesh, Gujarat states",Storm,Tropical cyclone,1974,20.0,
Midnapore,Storm,Tropical cyclone,1974,,
"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",Flood,Flood (General),1974,260.0,
"Kinnaur district, Kashmir; Himachal Pradesh",Earthquake,Ground movement,1975,47.0,
"Northwest, Bihar",Flood,Flood (General),1975,350.0,714259.0
Eastern,Storm,Storm (General),1975,450.0,200000.0
Bulandshar (Uttar Pradesh),Storm,Storm (General),1975,30.0,
Gujarat,Storm,Storm (General),1975,21.0,
Madras city,Storm,Tropical cyclone,1975,,
"Midnapore, Parganas districts (West Bengal), Balasore district (Orissa)",Storm,Tropical cyclone,1976,40.0,
Madras/Nellore (Andhra Pradesh),Storm,Tropical cyclone,1976,95.0,260000.0
"Gujarat, Maharastra",Storm,Tropical cyclone,1976,87.0,3378.0
"Krishna District, near Masulipatnam (Andhra Pradesh)",Storm,Tropical cyclone,1976,18.0,
Between Nellore and Kavali (Andhra Pradesh),Storm,Tropical cyclone,1976,30.0,3378.0
Ganges region,Flood,Riverine flood,1977,500.0,
Tamil Nadu,Flood,Flood (General),1977,60.0,
"Tamil Nadu, Andhra Pradesh, Kerala",Storm,Tropical cyclone,1977,14204.0,498535.0
"North of Nellore district, South of Prakasam district (Andhra Pradesh)",Storm,Tropical cyclone,1977,2.0,
Tamil Nadu,Epidemic,Viral disease,1978,45.0,
New Delhi,Storm,Tornado,1978,26.0,
Orissa,Storm,Tornado,1978,500.0,
West Bengal,Storm,Tornado,1978,100.0,
Uttar Pradesh,Epidemic,Viral disease,1978,48.0,
"North, Northeast",Flood,Flood (General),1978,3800.0,165000.0
West Bengal,Flood,Flood (General),1978,810.0,1000.0
West Bengal,Epidemic,Bacterial disease,1978,113.0,
Uttar Pradesh,Epidemic,Viral disease,1978,2000.0,
Northeastern,Mass movement (wet),Landslide (wet),1978,64.0,
"Tamil Nadu, Kerala",Storm,Tropical cyclone,1978,170.0,
"Lahaul, Pangi",Mass movement (wet),Landslide (wet),1979,230.0,
Bihar,Extreme temperature,Heat wave,1979,300.0,
Andhra Pradesh,Storm,Tropical cyclone,1979,594.0,12800.0
"North West, North, North East",Flood,Flood (General),1979,100.0,100000.0
Rajasthan,Extreme temperature,Heat wave,1979,100.0,
Uttar Pradesh,Mass movement (wet),Landslide (wet),1979,42.0,
Assam,Flood,Flood (General),1979,13.0,
Tamil Nadu,Flood,Flood (General),1979,140.0,
"Uttar Pradesh, Bihar, West Bengal",Flood,Flood (General),1979,,
Bihar,Epidemic,Bacterial disease,1979,215.0,
Bihar,Extreme temperature,Cold wave,1980,79.0,
Uttar Pradesh,Storm,Sand/Dust storm,1980,125.0,
Uttar Pradesh,Mass movement (wet),Landslide (wet),1980,150.0,
Assam,Flood,Flood (General),1980,,
Madhya Pradesh,Epidemic,Bacterial disease,1980,390.0,
Gujarat,Flood,Flood (General),1980,11.0,
"Uttar Pradesh, Bihar, Gujarat, Kerala, Haryana",Flood,Flood (General),1980,1600.0,320000.0
Jammu (Kashmir),Earthquake,Ground movement,1980,13.0,
Orissa,Flood,Flood (General),1980,200.0,
Northern,Epidemic,Viral disease,1980,400.0,
"Srikakulam, Visakhapatnam, East & West Godavari districts (Andhra Pradesh)",Storm,Tropical cyclone,1980,28.0,
Uttar Pradesh,Epidemic,Bacterial disease,1980,250.0,
"Bihar, Uttar Pradesh states",Extreme temperature,Heat wave,1980,50.0,
Northern,Extreme temperature,Cold wave,1981,300.0,
Orissa,Storm,Tornado,1981,120.0,
Gujarat,Storm,Storm (General),1981,470.0,
"Orissa, West Bengal",Storm,Tropical cyclone,1981,200.0,
"Puri, Ganjam, Koraput, Kalhandi, Phulbani, Sundergarh districts (Orissa state)",Storm,Tropical cyclone,1981,15.0,
Northeast,Flood,Flood (General),1982,932.0,700000.0
West Bengal,Epidemic,Viral disease,1982,118.0,
"Gujarat, Maharashtra",Storm,Tropical cyclone,1982,500.0,625420.0
Northern,Extreme temperature,Cold wave,1982,400.0,
Orissa state,Storm,Tropical cyclone,1982,244.0,120000.0
North-East region,Flood,Flood (General),1982,,
"districts of Bhiwani, Gurgaon, Hisar, Mahendargarh, and Rohtak, Kerala, Tami Nadu, Rajasthan",Drought,Drought,1982,,
West Bengal,Storm,Tropical cyclone,1983,76.0,
West Bengal,Storm,Storm (General),1983,24.0,
"Himachal Pradesh, Punjab",Storm,Storm (General),1983,31.0,25000.0
Saurashtra coast (N-W. Gujarat),Storm,Tropical cyclone,1983,551.0,56000.0
"Upper Assama, Central Sikkim",Flood,Flood (General),1983,197.0,
Central - Western,Flood,Flood (General),1983,130.0,
Sikkim,Mass movement (wet),Landslide (wet),1983,67.0,
"Andhra Pradesh, Orissa",Storm,Tropical cyclone,1983,100.0,510000.0
Tamil Nadu,Flood,Flood (General),1983,58.0,
North-East states,Flood,Flood (General),1984,245.0,90000.0
Jammu region,Wildfire,Forest fire,1984,,2000.0
Uttar Pradesh,Epidemic,Bacterial disease,1984,60.0,
"Tamil Nadu state + Chittoor, Nellore districts (Andhra Pradesh state)",Storm,Tropical cyclone,1984,524.0,35000.0
Northeast,Extreme temperature,Cold wave,1984,290.0,
Cachar district (Assam),Earthquake,Ground movement,1984,20.0,
"Ravalaseema, Kerala, Tamil Nadu",Storm,Tropical cyclone,1984,,
W Bengal State,Epidemic,Parasitic disease,1984,3290.0,
"Gujarat, Karnataka States",Epidemic,Viral disease,1984,1160.0,
"West Bengal, Uttar Pradesh, Assam, Bihar",Flood,Flood (General),1984,200.0,
Ladakh area,Flood,Flash flood,1984,14.0,
"W Bengal, Uttar Pradesh & Orissa",Flood,Flood (General),1984,245.0,
North-East region,Flood,Flood (General),1984,36.0,
Western,Epidemic,Viral disease,1985,55.0,
"Delhi, Haryana, Uttar Pradesh, Rajasthan, Sikkim, Gujarat, Jammu and Kashmir, West Bengal, Chandigarh, Kerala, Orissa",Epidemic,Bacterial disease,1985,799.0,
Punjab (Western),Flood,Flood (General),1985,133.0,
"Uttar Pradesh, West Bengal, Punjab (North, North-West, East India)",Flood,Flood (General),1985,741.0,500000.0
Bihar,Extreme temperature,Heat wave,1985,103.0,
Eastern Uttar Pradesh,Epidemic,Viral disease,1985,1000.0,
Andhra Pradesh,Storm,Tropical cyclone,1985,78.0,
Tamil Nadu,Flood,Flood (General),1985,130.0,
"Bihar, Uttar Pradesh, Jammu and Kashmir, Gujarat",Extreme temperature,Cold wave,1985,225.0,144000.0
"Uttar Pradesh, Bihar",Flood,Riverine flood,1985,557.0,308000.0
"Kerala, Assam, Bombay, Karnataka, Goa states",Flood,Riverine flood,1985,95.0,
New Delhi,Epidemic,Bacterial disease,1986,55.0,
Rajasthan state,Storm,Tropical cyclone,1986,11.0,
South Bihar,Epidemic,Viral disease,1986,210.0,
Uttar Pradesh,Storm,Storm (General),1986,71.0,
Andhra Pradesh,Flood,Riverine flood,1986,187.0,100000.0
"Calcutta, Midnapore district (West bengal)",Storm,Tropical cyclone,1986,13.0,272943.0
Jammu and Kashmir State,Mass movement (wet),Avalanche (wet),1986,65.0,
Cashmire,Storm,Blizzard/Winter storm,1986,65.0,
"Uttar Pradesh, Himachal Pradesh",Mass movement (wet),Landslide (wet),1986,88.0,
Dharmsala,Earthquake,Ground movement,1986,6.0,5000.0
Rajasthan,Extreme temperature,Heat wave,1987,100.0,
"Assam, Bihar, West Bengal",Flood,Riverine flood,1987,1200.0,545000.0
"Andhra Pradesh, Tami Nadu",Storm,Tropical cyclone,1987,38.0,
"Guntur, Prakasam district (Andhra Pradesh)",Storm,Tropical cyclone,1987,25.0,
"Bihar, Uttar Pradesh",Storm,Storm (General),1987,63.0,
Bihar,Storm,Storm (General),1987,40.0,
Cachemire,Flood,Flood (General),1987,25.0,
Andhra Pradesh,Flood,Flood (General),1987,30.0,
Uttar Pradesh,Flood,Flood (General),1987,59.0,
Kashmir,Epidemic,Viral disease,1987,90.0,
"Gujarat, Rajasthan, Orissa, Madhya Pradesh, Andhra Pradesh, Maharashtra",Drought,Drought,1987,300.0,
"Jammu and Kashmir, Ladakh",Mass movement (wet),Avalanche (wet),1988,250.0,
"Northern, Western, Central India",Extreme temperature,Heat wave,1988,418.0,
Rajasthan,Extreme temperature,Heat wave,1988,32.0,
Delhi,Epidemic,Bacterial disease,1988,466.0,
"Bihar, West Bengal, Assam",Flood,Riverine flood,1988,250.0,929200.0
"Uttar Pradesh, Haryana, Himachal Pradesh, Pendjab states",Mass movement (wet),Landslide (wet),1988,255.0,
Gujarat state,Epidemic,Bacterial disease,1988,445.0,
"Dharbhanga, Madhubani, Saharsa, Munger, Khagana, Bihar Sharie (Bihar State)",Earthquake,Ground movement,1988,382.0,71500.0
"Punjab, Himachal Pradesh, Haryana, Jamuu and Kashmir, Delhi",Flood,Riverine flood,1988,1000.0,18000.0
Along Nepal/Uttar Pradesh border,Epidemic,Viral disease,1988,3000.0,
West Bengal,Storm,Tropical cyclone,1988,74.0,13000.0
"Uttar Pradesh, Assam, Bihar, West Bengal, Arunachal Pradesh",Flood,Flood (General),1988,850.0,
"Maharashtra, Andhra Pradesh, Gujarat",Flood,Riverine flood,1989,1591.0,
"Coastal Orissa, West Bengal",Storm,Tropical cyclone,1989,43.0,
Southern India,Storm,Tropical cyclone,1989,50.0,
Bihar,Extreme temperature,Cold wave,1989,109.0,
"Assam, Arunachal Pradesh, Manipur, Mizorem",Flood,Riverine flood,1989,18.0,
North India,Mass movement (dry),Landslide (dry),1989,45.0,
"Guntur, Krishna, East and West Godavari, Visakhapatnam districts (Andhra Pradesh)",Storm,Tropical cyclone,1990,957.0,580000.0
"Jammu, Kargil district (Kashmir)",Flood,Flash flood,1990,69.0,
Golfe du Bengale,Storm,Severe weather,1990,500.0,
Gujarat,Storm,Severe weather,1990,120.0,2200000.0
Sikkim,Mass movement (wet),Landslide (wet),1990,30.0,
Tami Nadu state,Flood,Riverine flood,1990,60.0,
"North, West",Extreme temperature,Cold wave,1990,86.0,
Ganjam district (Orissa),Storm,Tropical cyclone,1990,250.0,112800.0
Bihar,Epidemic,Infectious disease (General),1990,90.0,
Gujarat,Epidemic,Parasitic disease,1990,58.0,
"Meghalaya, Manipur, Tinsukia",Storm,Storm (General),1990,16.0,
"Haryana, Punjab, Jammu, Himachal Pradesh, Rajasthan states",Extreme temperature,Cold wave,1990,178.0,
Bombay (Assam state),Flood,Riverine flood,1990,21.0,
"Assam, Meghalaya states",Flood,Coastal flood,1991,59.0,
"Bombay, Kerala, Gujarat",Flood,Riverine flood,1991,72.0,100000.0
"Assam, Tripura, Arunachal, Mizorem",Flood,Coastal flood,1991,30.0,
"Harsil (near Gangotri, Uttarkashi's Bhagirathi valley, Uttar Pradesh)",Earthquake,Ground movement,1991,1500.0,60000.0
"Andhra Pradesh, Tamil Nadu, Pondicherry",Storm,Tropical cyclone,1991,125.0,
Near Thondebhavi (Karnataka),Flood,Riverine flood,1991,60.0,
Kerala state,Flood,Riverine flood,1991,99.0,118000.0
"Andhra Pradesh, Maharashtra, Orissa, Gujarat, Madhya Pradesh",Flood,Riverine flood,1991,524.0,
"Haryana, Uttar Pradesh, Himachal Pradesh, Bihar states",Flood,Riverine flood,1991,88.0,
"Nagaon, Morigon districts (Assam)",Epidemic,Bacterial disease,1991,185.0,
West Bengal state,Flood,Riverine flood,1991,84.0,40000.0
"Uttar Pradesh, Jammu, Madhya Pradesh",Flood,Riverine flood,1992,500.0,57850.0
Naogoan district (Assam state),Storm,Tropical cyclone,1992,25.0,
"Vamanapuram, Amravilla (Trivadrum district, Kerala state)",Flood,Riverine flood,1992,51.0,182100.0
"Kerala, Gujarat, Orissa states",Storm,Severe weather,1992,60.0,
Aizawl (Mizoram state),Mass movement (wet),Landslide (wet),1992,60.0,
Orissa state,Flood,Riverine flood,1992,16.0,
"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",Flood,Flood (General),1992,179.0,69000.0
Bihar state,Extreme temperature,Cold wave,1992,275.0,
"Punjab, Haryana, Himachal Pradesh, Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam states",Flood,Flood (General),1993,827.0,7000000.0
"Killari, Haegoan, Sostour, Holi (Latur and Osmanabad districts, Maharastra state)",Earthquake,Ground movement,1993,9748.0,280000.0
"Tamil Nadu, Karaikal region (Pondicherry)",Storm,Tropical cyclone,1993,61.0,100000.0
"Near Kandi (Murshidabad district, West Bengal)",Storm,Tropical cyclone,1993,125.0,
Bombay,Mass movement (wet),Landslide (wet),1993,20.0,
Karnataka state,Flood,Flash flood,1993,35.0,
Uttar Pradesh,Flood,Riverine flood,1993,227.0,500000.0
"Tripura, Karamganj (Assam)",Flood,Riverine flood,1993,,
"Gujarat, Rajasthan states",Infestation,Locust infestation,1993,,
Himachal Pradesh,Flood,Riverine flood,1993,175.0,
Latur area,Earthquake,Ground movement,1993,,
"Bihar, Orissa, Andhra Pradesh, Maharashtra, Gujarat, Madhya Prasdesh, Uttar Pradesh, Karnataka",Drought,Drought,1993,,
"Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",Flood,Flood (General),1994,2001.0,175000.0
"Surat (Gujarat state), Beed (Maharashtra state)",Epidemic,Bacterial disease,1994,53.0,
"Tamil Nadu, Andhra Pradesh, Karnataka states",Storm,Tropical cyclone,1994,208.0,19100.0
"New Delhi, Rajasthan, Madhya Pradesh",Extreme temperature,Heat wave,1994,161.0,
Mormugao,Storm,Tornado,1994,11.0,
New Delhi,Flood,Riverine flood,1994,14.0,
Kashmir province,Mass movement (wet),Avalanche (wet),1995,200.0,
"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",Extreme temperature,Heat wave,1995,558.0,
Mizoram State,Mass movement (wet),Landslide (wet),1995,40.0,4500.0
Kulla (Himachal Pradesh),Mass movement (wet),Landslide (wet),1995,400.0,
"Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",Flood,Riverine flood,1995,1479.0,258000.0
"Orissa, Andra Pradesh",Storm,Tropical cyclone,1995,128.0,46300.0
Andhra Pradesh,Storm,Tropical cyclone,1995,94.0,2000.0
Sikkim state,Flood,Riverine flood,1995,35.0,252.0
Andhra Pradesh,Flood,Riverine flood,1995,,2000.0
"Andhra Pradesh, Karnataka, Kerala, West Begal, Tamil Nadu, Gujarat, Maharashtra, Uttar Pradesh, Assam, Haryana, Jammu and Kashmir, Rajasthan, Arunachal, Bihar, Tripura states",Storm,Tropical cyclone,1996,731.0,
Oman Sea,Storm,Tropical cyclone,1996,92.0,
Jammu & Kashmir state,Flood,Flood (General),1996,226.0,
Uttar Pradesh,Flood,Flood (General),1996,21.0,
"Karnataka, Andhra Pradesh, Maharashtra",Mass movement (wet),Landslide (wet),1996,48.0,
New Delhi,Epidemic,Viral disease,1996,354.0,
"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",Flood,Riverine flood,1996,388.0,90400.0
"East and West Godavari, Kakinada (Andhra Pradesh state)",Storm,Tropical cyclone,1996,708.0,1500300.0
Andhra Pradesh,Storm,Tropical cyclone,1996,6.0,
"West Bengal, Arunachal Pradesh, Assam",Flood,Riverine flood,1996,82.0,85000.0
"Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",Flood,Flood (General),1996,500.0,17600.0
"Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",Flood,Riverine flood,1996,74.0,980.0
Rajasthan,Drought,Drought,1996,,542400.0
Jabalpur (Madhya Pradesh),Earthquake,Ground movement,1997,43.0,37000.0
Gangtok (city) Level 1 = Sikkim,Mass movement (wet),Landslide (wet),1997,28.0,
Darjeeling Hills Level 1 = West Bengal,Mass movement (wet),Landslide (wet),1997,23.0,
"Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",Flood,Riverine flood,1997,135.0,71000.0
Coastal districts of West Bengal (no better info),Flood,Coastal flood,1997,400.0,
Andhra Pradesh,Storm,Tropical cyclone,1997,25.0,
"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Karnataka, Kerala, Maharashtra, Madyha Pradesh, Orissa, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal states",Flood,Flood (General),1997,1442.0,
"Mehsana, Gandhi Nagar, Ahmedabad, Kheda, Sabarkanda, Vadodra, Banaskanda, Surender Nagar districts (Gujarat state)",Flood,Riverine flood,1997,111.0,153800.0
West,Flood,Flood (General),1997,244.0,
Guntoor (Guntur) and Prakasham districts (Andhra Pradesh),Flood,Riverine flood,1997,25.0,
"Valsad, Chikali and Gandevi (Valsad district) and Vyara and Mahuva taluks (Surat district)",Epidemic,Bacterial disease,1997,48.0,
Lucknow (city) Level 1 = Uttar Pradesh,Epidemic,Viral disease,1997,,
